form,lemma,source,pos
felsen,felsen,kaikki-headword,noun
jüngere,jung,kaikki-form-of,adj
bezweifle,bezweifeln,kaikki-form-of,verb
weht,wehen,kaikki-form-of,verb
zogen,ziehen,kaikki-form-of,verb
stieß,stoßen,kaikki-form-of,verb
herrschte,herrschen,kaikki-form-of,verb
gestritten,streiten,kaikki-form-of,verb
packte,packen,kaikki-form-of,verb
innen,innen,kaikki-headword,adv
züge,zug,kaikki-form-of,noun
wille,wille,kaikki-headword,noun
heutige,heutig,kaikki-form-of,adj
anzunehmen,annehmen,kaikki-form-of,verb
briefmarken,briefmarke,kaikki-form-of,noun
gläser,glas,kaikki-form-of,noun
sünde,sünde,kaikki-headword,noun
gestochen,stechen,kaikki-form-of,verb
lächelt,lächeln,kaikki-form-of,verb
schockiert,schockieren,kaikki-form-of,verb
tassen,tasse,kaikki-form-of,noun
liefen,laufen,kaikki-form-of,verb
wandte,wenden,kaikki-form-of,verb
erinnerte,erinnern,kaikki-form-of,verb
fehlte,fehlen,kaikki-form-of,verb
älterer,alt,kaikki-form-of,adj
warteten,warten,kaikki-form-of,verb
reiste,reisen,kaikki-form-of,verb
wenigsten,wenig,kaikki-form-of,adj
lud,laden,kaikki-form-of,verb
ißt,essen,kaikki-form-of,verb
schadet,schaden,kaikki-form-of,verb
guck,gucken,kaikki-form-of,verb
wörtern,wort,kaikki-form-of,noun
läßt,lassen,kaikki-form-of,verb
klaren,klar,kaikki-form-of,adj
trugen,tragen,kaikki-form-of,verb
sämtliche,sämtlich,kaikki-form-of,adj
zuzuhören,zuhören,kaikki-form-of,verb
leser,lesen,kaikki-form-of,noun
orangen,orange,kaikki-form-of,adj;noun
hoffte,hoffen,kaikki-form-of,verb
damen,dame,kaikki-form-of,noun
versuchten,versuchen,kaikki-form-of,verb
ärgert,ärgern,kaikki-form-of,verb
studentin,student,kaikki-form-of,noun
forderte,fordern,kaikki-form-of,verb
täten,tun,kaikki-form-of,verb
freute,freuen,kaikki-form-of,verb
klopfte,klopfen,kaikki-form-of,verb
gewechselt,wechseln,kaikki-form-of,verb
verwandelt,verwandeln,kaikki-form-of,verb
aufzugeben,aufgeben,kaikki-form-of,verb
belogen,belügen,kaikki-form-of,verb
vermute,vermuten,kaikki-form-of,verb
schaltete,schalten,kaikki-form-of,verb
umstände,umstand,kaikki-form-of,noun
mögliche,möglich,kaikki-form-of,adj
endes,ende,kaikki-form-of,noun
ereignisse,ereignis,kaikki-form-of,noun
hingelegt,hinlegen,kaikki-form-of,verb
herausgefunden,herausfinden,kaikki-form-of,verb
völker,volk,kaikki-form-of,noun
überraschte,überraschen,kaikki-form-of,verb
wurdest,werden,kaikki-form-of,verb
